doctor_id,first_name,last_name,specialization,phone,email
1,Lily,Chen,Gastroenterology,+1-579-265-4567,lily.chen940@proton.me
2,Michael,Chen,Oncology,+1-331-418-9798,michael.chen79@health.org
3,Mia,Nguyen,Psychiatry,+1-667-858-3633,mia.nguyen630@yahoo.com
4,Ava,Moore,Endocrinology,+1-239-481-6918,ava.moore231@proton.me
5,Amelia,Park,Pediatrics,+1-957-713-7715,amelia.park350@outlook.com
6,Meera,Liu,Pulmonology,+1-954-667-4659,meera.liu661@gmail.com
7,Lucas,Davis,Endocrinology,+1-902-231-9169,lucas.davis921@uconn.edu
8,Samuel,Gupta,Pulmonology,+1-893-241-5062,samuel.gupta746@outlook.com
9,Aarav,Miller,Dermatology,+1-526-722-6430,aarav.miller825@proton.me
10,Joseph,Gonzalez,Ophthalmology,+1-985-752-6329,joseph.gonzalez109@uconn.edu
11,James,Gupta,Gastroenterology,+1-570-485-6008,james.gupta34@yahoo.com
12,Matthew,Gonzalez,Pulmonology,+1-387-658-2329,matthew.gonzalez598@yahoo.com
13,Advait,Pham,Dermatology,+1-620-433-9463,advait.pham32@outlook.com
14,Aria,Shah,Ophthalmology,+1-343-255-8671,aria.shah9@proton.me
15,Aarav,Jones,Pulmonology,+1-669-772-5572,aarav.jones202@outlook.com
16,Noah,Brown,Emergency Medicine,+1-898-864-6705,noah.brown368@outlook.com
17,Sara,Reddy,Pulmonology,+1-527-473-5627,sara.reddy690@yahoo.com
18,Meera,Williams,Oncology,+1-807-893-7769,meera.williams726@uconn.edu
19,Avery,Verma,Gastroenterology,+1-738-750-3699,avery.verma896@uconn.edu
20,Vihaan,Rodriguez,Pulmonology,+1-232-958-1634,vihaan.rodriguez781@gmail.com
21,Avery,Rodriguez,Emergency Medicine,+1-483-222-6084,avery.rodriguez10@health.org
22,Mason,Jones,Internal Medicine,+1-612-308-8267,mason.jones303@yahoo.com
23,Zoe,Wang,Endocrinology,+1-486-297-1376,zoe.wang16@health.org
24,Anaya,Martin,Endocrinology,+1-695-283-9549,anaya.martin419@proton.me
25,Nora,Taylor,Pediatrics,+1-643-329-5789,nora.taylor983@yahoo.com
26,Alexander,Wang,Cardiology,+1-776-761-7789,alexander.wang265@health.org
27,Ethan,Garcia,Internal Medicine,+1-714-674-8638,ethan.garcia121@gmail.com
28,Dia,Smith,Orthopedics,+1-534-674-1770,dia.smith161@yahoo.com
